message_id,customer_id,channel,message_text,sent_time,delivered_time,read_time,status
MSG_20250118_001,CUST_10005,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-01-18T00:09:35Z,2025-01-18T00:10:57Z,,delivered
MSG_20250206_002,CUST_10020,whatsapp,Thank you for your payment. Next EMI due: {date}.,2025-02-06T05:37:36Z,2025-02-06T05:39:32Z,,delivered
MSG_20250210_003,CUST_10031,whatsapp,Auto-debit failed. Please pay manually or update bank details.,2025-02-10T16:19:01Z,2025-02-10T16:20:41Z,,delivered
MSG_20250204_004,CUST_10050,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-02-04T18:09:34Z,,,pending
MSG_20250121_005,CUST_10020,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-01-21T11:15:10Z,,,failed
MSG_20250124_006,CUST_10047,whatsapp,Thank you for your payment. Next EMI due: {date}.,2025-01-24T18:03:58Z,,,failed
MSG_20250129_007,CUST_10003,sms,"Dear customer, your loan payment is pending. Contact us for assistance.",2025-01-29T09:05:51Z,2025-01-29T09:06:36Z,,delivered
MSG_20250215_008,CUST_10038,sms,URGENT: Your account is overdue by {days} days. Pay immediately.,2025-02-15T14:06:09Z,,,pending
MSG_20250208_009,CUST_10015,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-02-08T23:25:41Z,2025-02-08T23:26:11Z,,delivered
MSG_20250120_010,CUST_10022,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-01-20T15:27:18Z,,,pending
MSG_20250125_011,CUST_10023,whatsapp,Your payment plan has been updated. New EMI: Rs. {amount}.,2025-01-25T00:05:44Z,2025-01-25T00:06:10Z,,delivered
MSG_20250207_012,CUST_10042,whatsapp,Reminder: EMI of Rs. {amount} due on {date}. Pay via UPI/NEFT.,2025-02-07T10:34:08Z,2025-02-07T10:36:06Z,2025-02-07T11:50:37Z,read
MSG_20250214_013,CUST_10027,whatsapp,Reminder: EMI of Rs. {amount} due on {date}. Pay via UPI/NEFT.,2025-02-14T00:28:36Z,2025-02-14T00:30:18Z,,delivered
MSG_20250209_014,CUST_10033,whatsapp,Your EMI is overdue. Pay now to avoid penalties.,2025-02-09T01:02:16Z,,,failed
MSG_20250117_015,CUST_10040,whatsapp,Your EMI is overdue. Pay now to avoid penalties.,2025-01-17T09:10:12Z,,,pending
MSG_20250216_016,CUST_10027,whatsapp,URGENT: Your account is overdue by {days} days. Pay immediately.,2025-02-16T01:17:46Z,2025-02-16T01:18:59Z,2025-02-16T02:34:48Z,read
MSG_20250121_017,CUST_10033,sms,"Dear customer, your loan payment is pending. Contact us for assistance.",2025-01-21T08:49:12Z,,,pending
MSG_20250211_018,CUST_10010,whatsapp,URGENT: Your account is overdue by {days} days. Pay immediately.,2025-02-11T04:19:01Z,2025-02-11T04:19:18Z,,delivered
MSG_20250130_019,CUST_10026,whatsapp,Auto-debit failed. Please pay manually or update bank details.,2025-01-30T04:02:47Z,,,failed
MSG_20250125_020,CUST_10045,whatsapp,Reminder: EMI of Rs. {amount} due on {date}. Pay via UPI/NEFT.,2025-01-25T02:13:44Z,,,failed
MSG_20250214_021,CUST_10025,whatsapp,Your EMI is overdue. Pay now to avoid penalties.,2025-02-14T20:05:06Z,,,pending
MSG_20250215_022,CUST_10006,whatsapp,Settlement offer: Pay Rs. {amount} to close your loan. Valid till {date}.,2025-02-15T21:59:24Z,,,pending
MSG_20250119_023,CUST_10034,whatsapp,Thank you for your payment. Next EMI due: {date}.,2025-01-19T21:43:46Z,2025-01-19T21:45:40Z,,delivered
MSG_20250119_024,CUST_10003,whatsapp,Your EMI is overdue. Pay now to avoid penalties.,2025-01-19T20:38:55Z,,,failed
MSG_20250207_025,CUST_10002,whatsapp,Auto-debit failed. Please pay manually or update bank details.,2025-02-07T16:02:13Z,2025-02-07T16:04:06Z,,delivered
MSG_20250212_026,CUST_10037,whatsapp,Settlement offer: Pay Rs. {amount} to close your loan. Valid till {date}.,2025-02-12T15:21:41Z,,,pending
MSG_20250128_027,CUST_10009,sms,Settlement offer: Pay Rs. {amount} to close your loan. Valid till {date}.,2025-01-28T17:47:13Z,2025-01-28T17:48:54Z,2025-01-28T19:30:23Z,read
MSG_20250213_028,CUST_10015,whatsapp,Auto-debit failed. Please pay manually or update bank details.,2025-02-13T18:26:21Z,,,failed
MSG_20250131_029,CUST_10018,whatsapp,Thank you for your payment. Next EMI due: {date}.,2025-01-31T12:44:38Z,,,pending
