tts_id,customer_id,message_text,language,delivery_time,status
TTS_20250211_001,CUST_10032,Your payment of Rs. {amount} has been received. Thank you.,tamil,2025-02-11T13:37:54Z,pending
TTS_20250214_002,CUST_10045,Thank you for your recent payment. Your next EMI is due on {date}.,telugu,2025-02-14T18:52:58Z,delivered
TTS_20250125_003,CUST_10016,Reminder: EMI of Rs. {amount} is due on {date}.,marathi,2025-01-25T18:53:31Z,delivered
TTS_20250129_004,CUST_10035,Your payment is due tomorrow. Please pay to avoid late charges.,telugu,2025-01-29T13:01:26Z,delivered
TTS_20250202_005,CUST_10013,Reminder: Last date for payment without penalty is {date}.,hindi,2025-02-02T23:34:30Z,delivered
TTS_20250206_006,CUST_10042,Your payment is due tomorrow. Please pay to avoid late charges.,hindi,2025-02-06T01:52:44Z,pending
TTS_20250131_007,CUST_10016,Thank you for your recent payment. Your next EMI is due on {date}.,hindi,2025-01-31T04:26:02Z,delivered
TTS_20250120_008,CUST_10014,Thank you for your recent payment. Your next EMI is due on {date}.,bengali,2025-01-20T11:18:05Z,pending
TTS_20250205_009,CUST_10022,Your payment is due tomorrow. Please pay to avoid late charges.,tamil,2025-02-05T01:32:13Z,delivered
TTS_20250209_010,CUST_10009,Important: Your auto-debit has failed. Please ensure sufficient balance.,bengali,2025-02-09T08:25:35Z,pending
TTS_20250207_011,CUST_10008,Your loan account has an overdue balance. Please pay immediately.,hindi,2025-02-07T21:41:47Z,delivered
TTS_20250129_012,CUST_10016,"Dear customer, a settlement offer is available for your loan.",hindi,2025-01-29T23:37:03Z,pending
TTS_20250207_013,CUST_10017,Your loan account has an overdue balance. Please pay immediately.,marathi,2025-02-07T21:59:19Z,delivered
TTS_20250126_014,CUST_10034,Reminder: EMI of Rs. {amount} is due on {date}.,telugu,2025-01-26T22:32:44Z,delivered
TTS_20250125_015,CUST_10050,Reminder: EMI of Rs. {amount} is due on {date}.,telugu,2025-01-25T14:43:18Z,delivered
TTS_20250122_016,CUST_10015,Your payment is due tomorrow. Please pay to avoid late charges.,marathi,2025-01-22T21:59:08Z,pending
TTS_20250122_017,CUST_10020,Your payment is due tomorrow. Please pay to avoid late charges.,hindi,2025-01-22T01:27:56Z,failed
TTS_20250124_018,CUST_10026,Reminder: EMI of Rs. {amount} is due on {date}.,telugu,2025-01-24T02:56:45Z,failed
TTS_20250125_019,CUST_10005,"Dear customer, a settlement offer is available for your loan.",kannada,2025-01-25T20:12:45Z,delivered
TTS_20250209_020,CUST_10005,Important: Your auto-debit has failed. Please ensure sufficient balance.,kannada,2025-02-09T04:10:43Z,delivered
TTS_20250118_021,CUST_10036,Your payment of Rs. {amount} has been received. Thank you.,kannada,2025-01-18T23:00:03Z,delivered
TTS_20250121_022,CUST_10019,Your payment of Rs. {amount} has been received. Thank you.,hindi,2025-01-21T14:51:24Z,failed
TTS_20250210_023,CUST_10042,Thank you for your recent payment. Your next EMI is due on {date}.,telugu,2025-02-10T19:41:53Z,pending
TTS_20250125_024,CUST_10015,"Dear customer, a settlement offer is available for your loan.",bengali,2025-01-25T10:54:02Z,failed
TTS_20250125_025,CUST_10026,Reminder: EMI of Rs. {amount} is due on {date}.,tamil,2025-01-25T08:38:08Z,failed
TTS_20250126_026,CUST_10021,"Dear customer, a settlement offer is available for your loan.",english,2025-01-26T15:47:03Z,delivered
TTS_20250124_027,CUST_10005,Reminder: EMI of Rs. {amount} is due on {date}.,hindi,2025-01-24T08:26:17Z,delivered
TTS_20250126_028,CUST_10007,Your loan account has an overdue balance. Please pay immediately.,kannada,2025-01-26T09:49:39Z,delivered
TTS_20250213_029,CUST_10038,"Dear customer, a settlement offer is available for your loan.",marathi,2025-02-13T11:07:02Z,pending
TTS_20250210_030,CUST_10027,Your payment of Rs. {amount} has been received. Thank you.,bengali,2025-02-10T10:35:25Z,delivered
TTS_20250213_031,CUST_10019,Important: Your auto-debit has failed. Please ensure sufficient balance.,tamil,2025-02-13T21:03:40Z,pending
TTS_20250211_032,CUST_10037,Thank you for your recent payment. Your next EMI is due on {date}.,english,2025-02-11T08:17:48Z,pending
